bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
